ID,disbursed_value,asset_cost,Loan to Value,branch_id,supplier_id,manufacturer_id,pincode,DOB,Emp_Type,DisbursalDate,Region_ID,Employee_code_ID,MobileNo_Avl_Flag,id1_flag,id2_flag,id3_flag,id4_flag,id5_flag,Bureau_Score,Score_Category,primary_accs,active_accs,overdue_accs,total_balance_outstanding,total_sanctioned_amount,total_disbursed_amount,secondary_accs,secondary_active_accs,secondary_overdue_accs,secondary_total_balance_outstanding,secondary_total_sanctioned_amount,secondary_total_disbursed_amount,primary_emi,seconday_emi,loans_6months,loabs_default_6months,acvg_loan_tenure,credit_hist_length,inquiries,default
420825,50578,58400,89.55,67,22807,45,1441,1/1/84,Salaried,3/8/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
539055,52378,60300,88.39,67,22807,45,1495,9/12/77,Self employed,26/9/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,1
510980,52603,61300,86.95,67,22807,45,1492,1/6/68,Salaried,16/9/18,6,1998,1,0,0,1,0,0,818,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2608,0,0,0,1yrs 7mon,1yrs 7mon,0,0
486821,64769,74190,89.23,67,22807,45,1446,7/9/84,Salaried,3/9/18,6,1998,1,1,0,0,0,0,786,B-Very Low Risk,3,2,0,676,36154,23374,0,0,0,0,0,0,0,0,0,0,2yrs 1mon,2yrs 3mon,1,0
478647,53278,61330,89.68,67,22807,45,1497,1/6/74,Salaried,30/8/18,6,1998,1,0,0,1,0,0,300,M-Very High Risk,7,2,1,0,69900,69900,0,0,0,0,0,0,3300,0,0,0,1yrs 3mon,2yrs 9mon,0,1
483869,49278,57080,89.35,67,22807,45,1495,18/2/73,Self employed,31/8/18,6,1998,1,1,0,0,0,0,300,M-Very High Risk,5,5,3,95597,179252,179252,0,0,0,0,0,0,3514,0,0,0,3yrs 11mon,7yrs 2mon,0,1
600655,47549,61400,79.8,67,22807,45,1440,5/7/94,Salaried,22/10/18,6,1998,1,0,0,1,0,0,17,Not Scored: Not Enough Info available on the customer,1,0,0,0,0,0,0,0,0,0,0,0,7900,0,1,0,0yrs 1mon,0yrs 1mon,0,1
522020,53503,62100,87.28,67,22807,45,1498,27/2/83,Self employed,20/9/18,6,1998,1,1,0,0,0,0,688,E-Low Risk,13,8,0,1076657,2277048,2277048,0,0,0,0,0,0,4982,0,1,0,1yrs 10mon,4yrs 7mon,0,0
492995,70017,86760,82.99,67,22807,45,1479,10/8/88,Self employed,6/9/18,6,1998,1,0,0,1,0,0,585,I-Medium Risk,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1yrs 9mon,1yrs 9mon,0,1
590630,58013,69650,84.71,67,22807,45,1497,1/11/78,Self employed,20/10/18,6,1998,1,1,0,0,0,0,750,C-Very Low Risk,9,1,0,134499,32198,32198,0,0,0,0,0,0,557,0,1,0,0yrs 6mon,0yrs 10mon,1,0
467015,31184,57110,56.91,67,22807,45,1498,29/2/84,Salaried,27/8/18,6,1998,1,1,0,0,0,0,801,B-Very Low Risk,7,5,0,1338774,2306289,2291743,0,0,0,0,0,0,11083,0,0,0,2yrs 9mon,5yrs 10mon,2,0
563215,43594,78256,57.5,67,22744,86,1499,14/7/94,Self employed,8/10/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
513139,54513,61900,89.66,67,22807,45,1468,31/5/79,Self employed,17/9/18,6,1998,1,0,0,1,0,0,738,C-Very Low Risk,1,1,0,6690,25200,25200,0,0,0,0,0,0,1700,0,0,0,1yrs 3mon,1yrs 3mon,0,0
498082,73123,92900,79.66,67,22807,45,1480,2/1/89,Self employed,10/9/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
586411,55213,68600,83.09,67,22807,45,1494,1/1/86,Salaried,18/10/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
605314,57513,65750,88.97,67,22807,45,1497,12/9/72,Self employed,23/10/18,6,1998,1,1,0,0,0,0,615,H-Medium Risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3yrs 1mon,3yrs 1mon,1,1
501823,57259,70100,82.74,67,22807,45,1497,1/6/66,Salaried,12/9/18,6,1998,1,0,0,1,0,0,768,B-Very Low Risk,7,3,0,324323,604845,604845,0,0,0,0,0,0,1219,0,1,0,1yrs 10mon,4yrs 10mon,0,0
590213,55759,63100,89.54,67,22807,45,1492,19/6/77,Self employed,20/10/18,6,1998,1,1,0,0,0,0,709,D-Very Low Risk,4,3,0,18518,77480,77480,0,0,0,0,0,0,0,0,2,0,1yrs 9mon,3yrs 9mon,4,0
582949,40894,61230,67.78,67,22807,45,1497,7/2/93,Self employed,16/10/18,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
529381,57213,64750,89.88,67,22807,45,1502,27/11/76,Salaried,23/9/18,6,1998,1,1,0,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 11mon,0yrs 11mon,0,0
612741,57613,68950,84.99,67,22807,45,1499,14/9/80,Self employed,24/10/18,6,1998,1,1,0,0,0,0,717,D-Very Low Risk,1,1,0,3793,49597,49597,0,0,0,0,0,0,1956,0,0,0,2yrs 10mon,2yrs 10mon,1,1
604357,58459,71200,84.27,67,22807,45,1495,25/4/71,Salaried,23/10/18,6,1998,1,1,0,0,0,0,692,E-Low Risk,2,2,0,20865,93201,93201,0,0,0,0,0,0,2000,0,1,0,1yrs 7mon,2yrs 10mon,0,0
460555,48500,59313,83.79,78,17014,45,2070,1/6/64,Salaried,24/8/18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
548388,48693,62577,81.5,78,17014,45,2070,10/6/76,Salaried,29/9/18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
529422,43869,62577,71.91,78,17014,45,2099,1/1/84,Salaried,23/9/18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
502229,49458,63000,82.54,78,17014,45,2102,1/1/85,Salaried,12/9/18,4,1646,1,1,0,0,0,0,749,C-Very Low Risk,2,2,0,5428,63500,63500,0,0,0,0,0,0,4248,0,0,0,1yrs 9mon,2yrs 9mon,0,1
524678,54343,68862,82.77,78,17014,45,2071,1/1/83,Salaried,21/9/18,4,1646,1,1,0,0,0,0,702,E-Low Risk,9,1,0,79569,80000,80000,0,0,0,0,0,0,5154,0,1,0,1yrs 2mon,2yrs 1mon,2,0
